headline,category,short_description
"Adam Kinzinger Calls Gun Age Limits 'A No-Brainer,' Considers Assault Weapon Ban",POLITICS,"“Can we stop all of it? No. Can we mitigate it? Certainly. And we should be doing that now,"" the Illinois Republican said of gun violence following last week's mass shooting."
Texas Gov. Greg Abbott Loudly Booed At Uvalde Memorial,POLITICS,"""Shame on you, Abbott!"" a crowd member yelled as Abbott arrived with the Bidens at the school where 19 children and two teachers were killed."
Christian Nationalism On The Rise In Some GOP Campaigns,POLITICS,Doug Mastriano’s win in the Pennsylvania gubernatorial primary marks a high-profile victory for the movement.
"Netflix Co-CEO Backs Dave Chappelle, Says Programs Are 'Not Going To Be For Everybody'",U.S. NEWS,The streaming giant has faced backlash due to comedians' transphobic comments in recent specials.
Federal Judges Overrule Ohio Supreme Court: Mandate Voided Voting Map,POLITICS,"The decision is a win for the Republican-dominated redistricting commission, which passed five straight sets of legislative maps that couldn’t meet constitutional muster."
Oregon Man Parts Ways With Guns In Viral Change Of Heart,U.S. NEWS,"The man said he hopes the U.S. ""wakes up"" and addresses gun violence in a plea on TikTok."
Guilty Plea In Plot To Firebomb California Democratic HQ,CRIME,"“I want to blow up a democrat building bad,” Benjamin Rogers wrote in a messaging app."
Boy Whose Body Was Found In Suitcase Died Of Electrolyte Imbalance,U.S. NEWS,Police say an autopsy for a young boy found dead in a suitcase in southern Indiana showed he died from an electrolyte imbalance.
Brother Of Boy Killed In Uvalde Shooting Blasts Police Response As 'Selfish',U.S. NEWS,"“They’re here to protect our community, and they didn’t."""
Defiant Kevin McCarthy Challenges  Subpoena Authority Of Jan. 6 Committee,POLITICS,McCarthy's attorney argues in letter that the committee cannot issue subpoenas to the lawmakers under House rules.
Watch 'Slowest Pitch On Record' To Make A Batter Miss In Major League Baseball,SPORTS,"Cubs shortstop Andrelton Simmons filled in at pitcher during a lopsided loss to the Reds, and he served up a leisurely lob to the Reds' Kyle Farmer."
11 Survivors Of School Gun Violence Share How It Still Reverberates Through Their Lives,WELLNESS,"Since Columbine in 1999, more than 311,000 students have experienced some form of gun violence at school. And it has stuck with them."
The Funniest Tweets From Parents This Week (May 21-27),PARENTING,"""My 5yo is demanding I tell him where he lived when mommy and daddy were kids."""
Pebbles The Toy Fox Terrier Fetches 'Oldest Living Dog' Title In Tiny Canine Showdown,U.S. NEWS,"Pebbles, 22, has snatched the Guinness world record from the jaws of a 21-year-old Chihuahua named TobyKeith."
The 20 Funniest Tweets From Women This Week (May 21-27),WOMEN,"""I’ve been described as 'introverted' by dozens of men I didn’t want to talk to."""
Chihuahua Puppy In Recovery After Being Shot Through The Neck With Arrow,U.S. NEWS,"A startling photo shows the dog with an arrow sticking out of both sides of her neck, where it somehow missed vital arteries."
Gov. Greg Abbott Stops At Fundraiser After Texas School Shooting,POLITICS,"The governor said he made a campaign appearance after learning of the Uvalde school massacre so his supporters would ""know what happened."""
How ‘Hacks’ Turned A Cow Giving Birth Into Something Deeply Profound,CULTURE & ARTS,"Lucia Aniello, Paul Downs and Jen Statsky, the creators of the HBO Max comedy, talk about what inspired episode five of the show’s second season."
'American Pie' Singer Don McLean Drops Out Of NRA Convention Gig After Shooting,ENTERTAINMENT,"The folk-rock star said it would be ""disrespectful"" to play after the Uvalde massacre, but Donald Trump and other GOP politicians plan to go anyway."
Parents Plead For Uvalde Cops To Rescue Trapped Kids In Heart-Wrenching Video,U.S. NEWS,Law enforcement officers are facing scrutiny over whether they could have saved more people by rushing into Robb Elementary School sooner.
This Perfect Homemade Burger Recipe Doesn't Require A Grill,FOOD & DRINK,"Plus, pro tips that'll help you optimize every element of it."
Tom Brady Takes Batting Practice. Gronk Shags The Balls. Enough Said.,SPORTS,The Tampa Bay Buccaneers quarterback showed the baseball skills that once got him drafted by the Montreal Expos.
Kate Moss Denies Ex Johnny Depp Pushed Her Down the Stairs,ENTERTAINMENT,"During her testimony, Amber Heard referred to a rumor that Depp had physically assaulted the supermodel when they dated in the 1990s."
Florence Pugh Calls Out 'Horrible' Reaction To Her Rumored Breakup With Zach Braff,ENTERTAINMENT,The Marvel star shut down speculation that she'd moved on with actor Will Poulter after they were photographed vacationing together.
Brian Kemp Easily Wins GOP Nomination Despite Being Trump’s No. 1 Revenge Target,POLITICS,The incumbent Georgia governor will now face Democrat Stacey Abrams in a rematch of their 2018 election.
Texas Gov. On State's Deadliest School Shooting: 'It Could Have Been Worse',POLITICS,"GOP Gov. Greg Abbott said what Texans need ""now more than ever is our love"" after a gunman killed 19 children and two teachers in Uvalde."
'The Gray Man' Trailer: Gosling vs. Evans In Netflix's Most Expensive Movie Ever Made,ENTERTAINMENT,"Chris Evans hunts down Ryan Gosling in the upcoming $200 million spy thriller from the Russo Brothers, which also stars Ana de Armas."
The Supreme Court Just Made It More Likely Innocent People Will Be Executed,POLITICS,"“This decision is perverse. It is illogical,” Supreme Court Justice Sonia Sotomayor wrote in her dissent in Shinn v. Ramirez."
"Inclusion And Equity In TV Writing Is Still Largely 'Performative,' Report Finds",CULTURE & ARTS,"Many underrepresented TV writers aren’t being empowered to run their own shows or advance to leadership roles, as an annual survey of TV writers finds."
Kellyanne Conway Finally Admits Marriage With George Conway Is On The Rocks,POLITICS,Donald Trump's former White House adviser told People that “love must come with respect and ... a modicum of class and dignity.”
Toddler Who Pulled Off Cheeseburger 'Heist' Gets Hero's Reception On Twitter,U.S. NEWS,"""It hurts to see other people living your dreams,"" one user wrote."
Florida Student Finds Clever Way To Shred 'Don't Say Gay' Law In Graduation Speech,QUEER VOICES,"Zander Moricz, 18, quipped about his curly hair after he says school officials pledged to shut off his microphone if he referenced his LGBTQ advocacy work."
Russian Soldier Sentenced To Life At Kyiv War Crimes Trial,WORLD NEWS,"Earlier on his trip to Asia, Biden signed legislation granting Ukraine $40 billion more in U.S. support for its defense against the Russian attack."
"Starbucks Leaving Russian Market, Shutting 130 Stores",BUSINESS,Starbucks' move follows McDonald's exit from the Russian market last week.
Trevor Reed: U.S. Should Do 'Absolutely Everything' To Release Americans Held Illegally,U.S. NEWS,"“We need to do absolutely everything we can as Americans,"" Reed, a former U.S. Marine who was imprisoned in Russia, told CNN."
"If Your Mole Looks Like This, It's Time To See A Dermatologist",STYLE & BEAUTY,Experts explain the signs of melanoma to look out for on your skin.
Appeals Court Rules Florida Law On Social Media Unconstitutional,POLITICS,"“Put simply, with minor exceptions, the government can’t tell a private person or entity what to say or how to say it,” said Circuit Judge Kevin Newsom said in the opinion."
NYC Mayor Eric Adams Declares State Of Emergency Over Baby Formula Shortage,U.S. NEWS,Adams signed an executive order that will allow New York City to prevent price gouging on baby formula.
‘Doctor Strange’ Remains Atop Box Office As ‘Top Gun’ Looms,ENTERTAINMENT,"“Downton Abbey: A New Era” made a strong opening showing, but there was no real blockbuster competition for “Doctor Strange.”"
Biden Says Monkeypox Cases Something To 'Be Concerned About',U.S. NEWS,"Monkeypox is rarely identified outside of Africa, but as of Friday, there were 80 confirmed cases worldwide, including at least two in the U.S., and another 50 suspected ones."
"78,000 Pounds Of Infant Formula Arrives In US From Europe",U.S. NEWS,The Air Force flew pallets of baby formula to Indiana to begin alleviating the devastating nationwide shortage.
The Lithium War Next Door,ENVIRONMENT,A lithium mining startup promised to make a rural pocket of North Carolina a clean-energy boomtown. But perceived slights and concerns over water have turned neighbors against the project.
Teen Kidnapped At Dallas Basketball Game Found Days Later Held In Hotel Room,CRIME,Family blasts Dallas police who they say didn't bother to launch a search. The teen was found by Oklahoma City Police 200 miles away.
Group That Leaked Cawthorn's Nude Video Now Out To 'Fire' Lauren Boebert,POLITICS,"“Hi Rep. Boebert — Ask Rep Cawthorn about us. We look forwarding [sic] to getting to know you,"" American Muckrakers PAC wrote in an ominous tweet."
Sebastian Stan Shades Musk With Why He Doesn't Want To Go To Space Anymore,ENTERTAINMENT,"The ""Pam & Tommy"" star has changed his mind about space tourism."
Trump Heaps Praise On Hungary's Viktor Orban At Conservative Conference: Report,POLITICS,A meeting of the Conservative Political Action Conference in Budapest kicked off this week with prominent American conservatives in attendance.
145 Beagles In 'Acute Distress' Seized From Massive Breeding Facility: Lawsuit,U.S. NEWS,Feds are suing a company that breeds dogs for research over egregious animal welfare violations
"Family Hears Noise, Finds 550-Pound Alligator 'Taking A Dip' In Their Pool",ENVIRONMENT,And that's why you never belly-flop without looking first.
Anna Delvey's 'Art Show' Was Nothing More Than Whiteness At Work,CULTURE & ARTS,"Despite being held in ICE custody, the famed scammer had the very white privilege of hosting her own art show, titled “Allegedly,” at the Public Hotel."
'For Colored Girls' Continues To Be Black Women's North Star,CULTURE & ARTS,"The extraordinary Broadway cast gush over their sisterhood, Ntozake Shange's resonant choreopoem and bringing their full selves to the stage each night."
Samantha Bee Bleeped Big Time As She Torches Attack On Abortion Rights,ENTERTAINMENT,"""How dare Republicans demand civility as they strip away our civil rights?!?"" the ""Full Frontal"" host said."
The Funniest Tweets From Parents This Week (May 14-20),PARENTING,"""80% of parenting is trying not to laugh when you’re supposed to be mad"""
CPAC Head Hails Abortion Ban As Solution To Racist 'Replacement' Fears: Vice,POLITICS,"Scuttling Roe v. Wade is a ""good start"" to allowing ""our own people to live,"" Matt Schlapp told media at the conservative group's Budapest conference."
Monkeypox: What You Need To Know About The Virus,WELLNESS,"The virus has been declared a global health emergency. Here's what that means for you, plus advice on symptoms, treatment and more."
Dog On The Mend After Rescuing Owner From Mountain Lion,U.S. NEWS,"After a harrowing journey to the vet, the Belgian Malinois survived the ordeal."
Jennifer Lopez Breaks Down Over Oscars Snub In Netflix Documentary Trailer,ENTERTAINMENT,"The first look at the upcoming film shows the music superstar's fears of still not being ""taken seriously"" all these years later."
Stop Saying 'Breastfeeding Is Free' Amid The Formula Shortage. It Isn't.,PARENTING,"The statement completely ignores the physical, emotional and financial costs of nursing — and women are bearing the expense."
"Amber Heard's Sister Says Johnny Depp Tried To Control Her Style, Friends And Jobs",ENTERTAINMENT,"Whitney Henriquez said that, over time, Depp became ""vehemently"" opposed to his wife working in Hollywood."
